"host","name"
"DK01SV7880","TESTCOW/Adhoc Servers"
"DK01SV7883","TESTCOW/Adhoc Servers"
"DK01SV8566","TESTCOW/Dev Servers/Win2012"
"DK01SV8572","TESTCOW/Dev Servers/Win2012"
"DK01SV8551","TESTCOW/Dev Servers/Win2012"
"DK01SV8562","TESTCOW/Dev Servers/Win2012"
"DK01SV8561","TESTCOW/Dev Servers/Win2012"
"DK01SV8571","TESTCOW/Dev Servers/Win2012"
"DK01SV8563","TESTCOW/Dev Servers/Win2012"
"DK01SV8582","TESTCOW/Dev Servers/Win2012"
"DK01SV8574","TESTCOW/Dev Servers/Win2012"
"DK01SV8580","TESTCOW/Dev Servers/Win2012"
"DK01SV8557","TESTCOW/Dev Servers/Win2012"
"DK01SV8550","TESTCOW/Dev Servers/Win2012"
"DK01SV8554","TESTCOW/Dev Servers/Win2012"
"DK01SV8568","TESTCOW/Dev Servers/Win2012"
"DK01SV8564","TESTCOW/Dev Servers/Win2012"
"DK01SV8565","TESTCOW/Dev Servers/Win2012"
"DK01SV8578","TESTCOW/Dev Servers/Win2012"
"DK01SV8569","TESTCOW/Dev Servers/Win2012"
"DK01SV8567","TESTCOW/Dev Servers/Win2012"
"DK01SV8558","TESTCOW/Dev Servers/Win2012"
"DK01SV8581","TESTCOW/Dev Servers/Win2012"
"DK01SV8573","TESTCOW/Dev Servers/Win2012"
"DK01SV8555","TESTCOW/Dev Servers/Win2012"
"DK01SV8570","TESTCOW/Dev Servers/Win2012"
"DK01SV8556","TESTCOW/Dev Servers/Win2012"
"DK01SV8552","TESTCOW/Dev Servers/Win2012"
"DK01SV7114","TESTCOW/Execution Servers/61/Win2008"
"DK01SV7115","TESTCOW/Execution Servers/61/Win2008"
"DK01SV7110","TESTCOW/Execution Servers/61/Win2012"
"DK01SV7112","TESTCOW/Execution Servers/61/Win2012"
"DK01SV7111","TESTCOW/Execution Servers/61/Win2012"
"DK01SV7113","TESTCOW/Execution Servers/61/Win2012"
"DK01SV7116","TESTCOW/Execution Servers/61/Win2012"
"DK01SV7117","TESTCOW/Execution Servers/61/Win2012"
"DK01SV7118","TESTCOW/Execution Servers/61/Win2012"
"DK01SV7119","TESTCOW/Execution Servers/61/Win2012"
"DK01SV8110","TESTCOW/Execution Servers/61/Win2012"
"DK01SV8111","TESTCOW/Execution Servers/61/Win2012"
"DK01SV8112","TESTCOW/Execution Servers/61/Win2012"
"DK01SV8113","TESTCOW/Execution Servers/61/Win2012"
"DK01SV8114","TESTCOW/Execution Servers/61/Win2012"
"DK01SV8115","TESTCOW/Execution Servers/61/Win2012"
"DK01SV7126","TESTCOW/Execution Servers/62/Win2008"
"DK01SV7127","TESTCOW/Execution Servers/62/Win2008"
"DK01SV7128","TESTCOW/Execution Servers/62/Win2008"
"DK01SV7120","TESTCOW/Execution Servers/62/Win2012"
"DK01SV7121","TESTCOW/Execution Servers/62/Win2012"
